sample_id,dataset_name,query,ground_truth,prediction,success,execution_time,total_turns,has_ground_truth,metric_exact_match
qrdata_original_qrdata_27_27,qrdata_original,What is the probability that a randomly chosen female likes In-N-Out the best? Please round to the n...,0.72,0.72,True,7.408276319503784,2,True,1.0
qrdata_original_qrdata_28_28,qrdata_original,What is the probability that a randomly chosen person likes Umami best or that person is female? Ple...,0.51,0.51,True,7.271945953369141,2,True,1.0
qrdata_original_qrdata_29_29,qrdata_original,What is the probability that a randomly chosen male respondent or his partner has blue eyes? Please ...,0.71,0.71,True,8.068536043167114,2,True,1.0
qrdata_original_qrdata_30_30,qrdata_original,What is the probability that a randomly chosen male respondent with blue eyes has a partner with blu...,0.68,0.68,True,8.210812330245972,2,True,1.0
qrdata_original_qrdata_31_31,qrdata_original,What is the probability of a randomly chosen male respondent with green eyes having a partner with b...,0.31,0.31,True,9.666950941085815,2,True,1.0
qrdata_original_qrdata_32_32,qrdata_original,What proportion of the sample is between 180 cm and 185 cm tall? Please round to the nearest thousan...,0.117,0.12,True,11.836925268173218,2,True,1.0
qrdata_original_qrdata_33_33,qrdata_original,Three US adults are randomly selected. What is the probability that all three are between 180 and 18...,0.002,0.0,True,9.566129922866821,2,True,0.0
qrdata_original_qrdata_34_34,qrdata_original,Three US adults are randomly selected. What is the probability that none are between 180 and 185 cm ...,0.69,0.69,True,8.863524913787842,2,True,1.0
qrdata_original_qrdata_35_35,qrdata_original,Use a Poisson distribution to approximate the data. What is the event rate of the Poisson distributi...,4.4,4.4,True,5.775342226028442,1,True,1.0
qrdata_original_qrdata_36_36,qrdata_original,Calculate the lower bound of a 99% confidence interval for the level of American support for expandi...,0.819,0.83,True,18.077450037002563,1,True,1.0
qrdata_original_qrdata_37_37,qrdata_original,What is the point estimate in this case? Please round to the nearest hundredth.,0.82,0.82,True,8.878624200820923,2,True,1.0
qrdata_original_qrdata_38_38,qrdata_original,Estimate the standard error of the point estimate from the Ebola survey. Please round to the nearest...,0.012,0.01,True,9.146163940429688,2,True,0.0
qrdata_original_qrdata_39_39,qrdata_original,"Construct a 95% confidence interval for p, the proportion of New York adults who supported a quarant...",0.796,0.8,True,8.458370923995972,2,True,1.0
qrdata_original_qrdata_40_40,qrdata_original,"Construct a 95% confidence interval for p, the proportion of New York adults who supported a quarant...",0.844,0.84,True,8.513278007507324,2,True,1.0
qrdata_original_qrdata_41_41,qrdata_original,Compute the upper bound of a 95% confidence interval for the fraction of college-educated adults who...,0.358,0.36,True,7.852524042129517,2,True,1.0
qrdata_original_qrdata_42_42,qrdata_original,Calculate the lower bound of the 90% confidence interval of the difference for the survival rates in...,-0.026,-0.03,True,44.34923481941223,1,True,0.0
qrdata_original_qrdata_43_43,qrdata_original,Calculate the length of the 95% confidence interval for the effect of fish oils on heart attacks for...,0.006,0.01,True,15.079013109207153,2,True,0.0
qrdata_original_qrdata_44_44,qrdata_original,Calculate the lower bound of the 95% confidence interval for the effect of fish oils on heart attack...,-0.007,-0.01,True,71.69250512123108,2,True,0.0
qrdata_original_qrdata_45_45,qrdata_original,"Is this study an experiment or an observational study? Please answer with ""experiment"" or ""observati...",experiment,2.0,True,14.241616010665894,3,True,0.0
qrdata_original_qrdata_46_46,qrdata_original,Compute the absolute value of the point estimate of the difference in breast cancer death rates in t...,0.00012,0.0,True,15.696830987930298,2,True,0.0
qrdata_original_qrdata_47_47,qrdata_original,Compute the standard error of the point estimate of the difference in breast cancer death rates in t...,0.00070,0.0,True,8.957018852233887,2,True,0.0
qrdata_original_qrdata_48_48,qrdata_original,Calculate a p-value for the hypothesis that there was no difference in breast cancer deaths in the m...,0.8650,0.87,True,8.717257022857666,2,True,1.0
qrdata_original_qrdata_49_49,qrdata_original,Given the hypothesis that the higher-quality blades will pass inspection 3% more frequently than the...,0.012,64.0,True,9.646732091903687,2,True,0.0
